time;lvmh;lvmh (Volume)
02/01/2020 01:00;419.15;347226
03/01/2020 01:00;419.10;291716
06/01/2020 01:00;415.15;363953
07/01/2020 01:00;416.00;363885
08/01/2020 01:00;418.80;360741
09/01/2020 01:00;424.50;378062
10/01/2020 01:00;423.65;268887
13/01/2020 01:00;426.75;375035
14/01/2020 01:00;431.00;513855
15/01/2020 01:00;431.45;429805
16/01/2020 01:00;431.90;442227
17/01/2020 01:00;439.05;519809
20/01/2020 01:00;429.75;345795
21/01/2020 01:00;424.95;674294
22/01/2020 01:00;423.45;427634
23/01/2020 01:00;411.95;663493
24/01/2020 01:00;416.30;537172
27/01/2020 01:00;401.00;1193045
28/01/2020 01:00;412.00;911017
29/01/2020 01:00;407.60;1050070
30/01/2020 01:00;398.90;919787
31/01/2020 01:00;395.30;852171
03/02/2020 01:00;396.75;561461
04/02/2020 01:00;410.60;721603
05/02/2020 01:00;415.00;851040
06/02/2020 01:00;418.05;576989
07/02/2020 01:00;413.95;557450
10/02/2020 01:00;413.55;538239
11/02/2020 01:00;412.35;485463
12/02/2020 01:00;424.70;646869
13/02/2020 01:00;421.55;564012
14/02/2020 01:00;414.95;439401
17/02/2020 01:00;414.40;310146
18/02/2020 01:00;408.85;552569
19/02/2020 01:00;419.05;541054
20/02/2020 01:00;409.80;506684
21/02/2020 01:00;404.50;719448
24/02/2020 01:00;385.65;1626587
25/02/2020 01:00;380.05;1078187
26/02/2020 01:00;385.25;1162703
27/02/2020 01:00;369.85;1797670
28/02/2020 01:00;370.85;2347024
02/03/2020 01:00;376.10;1693434
03/03/2020 01:00;377.35;1361667
04/03/2020 01:00;385.20;918251
05/03/2020 01:00;374.55;911965
06/03/2020 01:00;360.35;1519151
09/03/2020 01:00;338.00;2442726
10/03/2020 01:00;334.80;1610721
11/03/2020 01:00;330.15;1572252
12/03/2020 01:00;301.50;3098476
13/03/2020 01:00;314.90;2334042
16/03/2020 01:00;297.60;2802823
17/03/2020 01:00;311.25;1972486
18/03/2020 01:00;287.95;1603134
19/03/2020 01:00;294.95;1327016
20/03/2020 01:00;311.00;1996468
23/03/2020 01:00;311.40;1218819
24/03/2020 01:00;339.15;1460277
25/03/2020 01:00;363.50;1331999
26/03/2020 01:00;363.70;1251959
27/03/2020 01:00;341.65;1072791
30/03/2020 02:00;350.00;711278
31/03/2020 02:00;338.45;1010235
01/04/2020 02:00;324.65;1043341
02/04/2020 02:00;325.35;697471
03/04/2020 02:00;325.05;507455
06/04/2020 02:00;339.75;770040
07/04/2020 02:00;344.50;814971
08/04/2020 02:00;343.20;466780
09/04/2020 02:00;347.40;697149
14/04/2020 02:00;352.00;634000
15/04/2020 02:00;342.00;743853
16/04/2020 02:00;342.80;698898
17/04/2020 02:00;358.00;1230602
20/04/2020 02:00;360.45;688269
21/04/2020 02:00;350.00;661016
22/04/2020 02:00;353.45;461394
23/04/2020 02:00;348.65;457675
24/04/2020 02:00;340.85;487270
27/04/2020 02:00;350.95;416668
28/04/2020 02:00;357.00;537054
29/04/2020 02:00;359.80;542481
30/04/2020 02:00;352.45;826049
04/05/2020 02:00;338.55;935408
05/05/2020 02:00;342.50;523195
06/05/2020 02:00;336.40;451644
07/05/2020 02:00;345.55;459323
08/05/2020 02:00;352.25;388988
11/05/2020 02:00;348.90;340324
12/05/2020 02:00;346.85;355695
13/05/2020 02:00;335.05;619814
14/05/2020 02:00;331.00;727899
15/05/2020 02:00;330.25;608567
18/05/2020 02:00;350.05;768348
19/05/2020 02:00;357.50;933641
20/05/2020 02:00;361.75;515787
21/05/2020 02:00;359.85;417304
22/05/2020 02:00;355.30;449902
25/05/2020 02:00;361.95;344725
26/05/2020 02:00;365.40;571246
27/05/2020 02:00;373.85;755724
28/05/2020 02:00;386.80;744833
29/05/2020 02:00;375.00;1158588
01/06/2020 02:00;378.90;591268
02/06/2020 02:00;384.95;885105
03/06/2020 02:00;393.45;929648
04/06/2020 02:00;390.05;880766
05/06/2020 02:00;404.25;1094237
08/06/2020 02:00;396.10;801805
09/06/2020 02:00;395.30;831921
10/06/2020 02:00;398.40;603868
11/06/2020 02:00;375.10;894020
12/06/2020 02:00;379.15;824496
15/06/2020 02:00;371.45;595943
16/06/2020 02:00;376.80;889962
17/06/2020 02:00;379.15;677354
18/06/2020 02:00;377.30;530513
19/06/2020 02:00;380.05;1330873
22/06/2020 02:00;378.90;404732
23/06/2020 02:00;390.65;664637
24/06/2020 02:00;381.35;595470
25/06/2020 02:00;383.85;586397
26/06/2020 02:00;387.70;533072
29/06/2020 02:00;389.50;548762
30/06/2020 02:00;390.50;552740
01/07/2020 02:00;391.60;476216
02/07/2020 02:00;401.85;586143
03/07/2020 02:00;396.70;297283
06/07/2020 02:00;404.00;500923
07/07/2020 02:00;402.65;345700
08/07/2020 02:00;399.80;352788
09/07/2020 02:00;400.95;383571
10/07/2020 02:00;400.70;418623
13/07/2020 02:00;408.35;388756
14/07/2020 02:00;404.65;443914
15/07/2020 02:00;412.05;647890
16/07/2020 02:00;408.15;379050
17/07/2020 02:00;410.25;552764
20/07/2020 02:00;412.80;346202
21/07/2020 02:00;409.95;351889
22/07/2020 02:00;404.00;396240
23/07/2020 02:00;403.60;482134
24/07/2020 02:00;399.10;480869
27/07/2020 02:00;401.40;421074
28/07/2020 02:00;385.05;916437
29/07/2020 02:00;387.15;446203
30/07/2020 02:00;373.85;713632
31/07/2020 02:00;366.75;681171
03/08/2020 02:00;372.30;456262
04/08/2020 02:00;371.65;357667
05/08/2020 02:00;376.10;313441
06/08/2020 02:00;374.00;360618
07/08/2020 02:00;374.00;350718
10/08/2020 02:00;371.55;237955
11/08/2020 02:00;382.70;490581
12/08/2020 02:00;391.20;432148
13/08/2020 02:00;391.20;219154
14/08/2020 02:00;386.05;296881
17/08/2020 02:00;387.75;298975
18/08/2020 02:00;386.05;339896
19/08/2020 02:00;387.20;215081
20/08/2020 02:00;383.35;377296
21/08/2020 02:00;385.45;482939
24/08/2020 02:00;393.45;369998
25/08/2020 02:00;397.05;385894
26/08/2020 02:00;403.00;282445
27/08/2020 02:00;401.00;279205
28/08/2020 02:00;396.35;297763
31/08/2020 02:00;392.80;368517
01/09/2020 02:00;396.70;383933
02/09/2020 02:00;407.25;584239
03/09/2020 02:00;408.40;544668
04/09/2020 02:00;402.85;502695
07/09/2020 02:00;408.80;287600
08/09/2020 02:00;404.40;361780
09/09/2020 02:00;404.05;483955
10/09/2020 02:00;404.35;431048
11/09/2020 02:00;416.60;510733
14/09/2020 02:00;420.25;453320
15/09/2020 02:00;424.00;317548
16/09/2020 02:00;426.15;443331
17/09/2020 02:00;420.00;390956
18/09/2020 02:00;413.85;1548938
21/09/2020 02:00;395.55;711246
22/09/2020 02:00;391.05;501677
23/09/2020 02:00;400.10;439307
24/09/2020 02:00;401.80;431987
25/09/2020 02:00;400.20;462863
28/09/2020 02:00;405.90;387984
29/09/2020 02:00;409.95;335336
30/09/2020 02:00;399.40;595051
01/10/2020 02:00;409.70;522770
02/10/2020 02:00;407.65;369092
05/10/2020 02:00;412.55;360824
06/10/2020 02:00;411.20;298711
07/10/2020 02:00;410.75;339680
08/10/2020 02:00;407.20;295725
09/10/2020 02:00;411.90;275802
12/10/2020 02:00;418.25;340973
13/10/2020 02:00;416.75;268226
14/10/2020 02:00;412.20;329409
15/10/2020 02:00;403.00;542296
16/10/2020 02:00;432.60;904898
19/10/2020 02:00;432.90;350404
20/10/2020 02:00;430.20;379163
21/10/2020 02:00;427.80;428130
22/10/2020 02:00;427.20;428472
23/10/2020 02:00;428.00;371843
26/10/2020 01:00;421.75;398248
27/10/2020 01:00;418.85;542810
28/10/2020 01:00;402.15;834554
29/10/2020 01:00;403.80;590020
30/10/2020 01:00;402.30;547480
02/11/2020 01:00;405.65;483742
03/11/2020 01:00;408.95;471809
04/11/2020 01:00;421.80;528473
05/11/2020 01:00;436.75;672597
06/11/2020 01:00;435.50;452199
09/11/2020 01:00;468.85;1163330
10/11/2020 01:00;474.00;926951
11/11/2020 01:00;487.40;630882
12/11/2020 01:00;472.85;602791
13/11/2020 01:00;469.75;485569
16/11/2020 01:00;477.30;497178
17/11/2020 01:00;475.00;364093
18/11/2020 01:00;486.15;538478
19/11/2020 01:00;488.65;499206
20/11/2020 01:00;492.55;684052
23/11/2020 01:00;492.50;466197
24/11/2020 01:00;494.85;485818
25/11/2020 01:00;494.20;544696
26/11/2020 01:00;495.75;286541
27/11/2020 01:00;496.00;586217
30/11/2020 01:00;482.90;1134522
01/12/2020 01:00;496.75;514698
02/12/2020 01:00;497.85;353373
03/12/2020 01:00;498.00;332716
04/12/2020 01:00;492.25;542580
07/12/2020 01:00;493.70;375438
08/12/2020 01:00;494.45;323359
09/12/2020 01:00;498.00;411414
10/12/2020 01:00;501.00;466149
11/12/2020 01:00;500.40;382300
14/12/2020 01:00;509.20;433394
15/12/2020 01:00;507.20;535189
16/12/2020 01:00;505.00;398944
17/12/2020 01:00;502.90;388090
18/12/2020 01:00;499.55;1032272
21/12/2020 01:00;490.20;479857
22/12/2020 01:00;492.30;382128
23/12/2020 01:00;496.10;249098
24/12/2020 01:00;496.45;73147
28/12/2020 01:00;504.00;220715
29/12/2020 01:00;512.80;301703
30/12/2020 01:00;513.10;249571
31/12/2020 01:00;510.90;130740
