time;CAC;CAC( volume )
02/01/2020 01:00;6016.61;2835006
03/01/2020 01:00;6007.96;2634577
06/01/2020 01:00;6001.21;3094985
07/01/2020 01:00;6033.22;3137502
08/01/2020 01:00;5986.81;3242123
09/01/2020 01:00;6066.75;3153829
10/01/2020 01:00;6056.74;2822263
13/01/2020 01:00;6040.91;2984883
14/01/2020 01:00;6037.45;3585924
15/01/2020 01:00;6042.72;3615143
16/01/2020 01:00;6039.62;3136978
17/01/2020 01:00;6066.29;3587671
20/01/2020 01:00;6092.97;1999003
21/01/2020 01:00;6034.24;3050171
22/01/2020 01:00;6053.85;3237600
23/01/2020 01:00;5992.47;3938971
24/01/2020 01:00;6019.60;3709491
27/01/2020 01:00;5924.06;5021226
28/01/2020 01:00;5886.81;3861946
29/01/2020 01:00;5921.97;3562747
30/01/2020 01:00;5886.02;3996343
31/01/2020 01:00;5891.71;4571077
03/02/2020 01:00;5822.04;3373003
04/02/2020 01:00;5863.36;3753591
05/02/2020 01:00;5919.06;4672695
06/02/2020 01:00;6045.04;4416641
07/02/2020 01:00;6027.54;3673965
10/02/2020 01:00;6008.48;2975471
11/02/2020 01:00;6047.96;3600716
12/02/2020 01:00;6064.25;4203877
13/02/2020 01:00;6076.92;4285052
14/02/2020 01:00;6096.07;3454603
17/02/2020 01:00;6079.53;2612377
18/02/2020 01:00;6042.38;3840115
19/02/2020 01:00;6086.11;3636496
20/02/2020 01:00;6105.17;4004678
21/02/2020 01:00;6035.03;4391038
24/02/2020 01:00;5875.86;7753269
25/02/2020 01:00;5825.37;6225869
26/02/2020 01:00;5646.14;6837711
27/02/2020 01:00;5571.72;8527752
28/02/2020 01:00;5310.82;10864964
02/03/2020 01:00;5416.02;8082825
03/03/2020 01:00;5408.15;7556668
04/03/2020 01:00;5400.43;5837906
05/03/2020 01:00;5490.52;5941247
06/03/2020 01:00;5253.82;7619150
09/03/2020 01:00;4845.27;11432438
10/03/2020 01:00;4770.62;9307936
11/03/2020 01:00;4716.22;7297221
12/03/2020 01:00;4374.67;11692320
13/03/2020 01:00;4234.37;10200474
16/03/2020 01:00;3886.82;9087119
17/03/2020 01:00;4041.33;6695572
18/03/2020 01:00;3905.53;6171394
19/03/2020 01:00;3833.99;5760465
20/03/2020 01:00;4066.79;8091636
23/03/2020 01:00;3869.01;5650336
24/03/2020 01:00;4087.61;5841282
25/03/2020 01:00;4339.71;6007564
26/03/2020 01:00;4332.79;5260919
27/03/2020 01:00;4433.95;4918638
30/03/2020 02:00;4362.09;3751434
31/03/2020 02:00;4437.78;5156610
01/04/2020 02:00;4259.94;4648718
02/04/2020 02:00;4243.84;4213314
03/04/2020 02:00;4204.81;3495496
06/04/2020 02:00;4298.50;4118236
07/04/2020 02:00;4489.40;4639126
08/04/2020 02:00;4397.36;3165581
09/04/2020 02:00;4512.30;4195923
14/04/2020 02:00;4553.55;3575705
15/04/2020 02:00;4511.87;3727813
16/04/2020 02:00;4402.38;3492816
17/04/2020 02:00;4470.92;4846230
20/04/2020 02:00;4531.34;2804208
21/04/2020 02:00;4467.49;3241162
22/04/2020 02:00;4382.20;2772081
23/04/2020 02:00;4450.19;2974185
24/04/2020 02:00;4387.03;2822308
27/04/2020 02:00;4479.86;2461419
28/04/2020 02:00;4507.42;3274475
29/04/2020 02:00;4566.29;3430945
30/04/2020 02:00;4693.28;4757187
04/05/2020 02:00;4413.14;4218739
05/05/2020 02:00;4455.74;3037557
06/05/2020 02:00;4484.16;2630896
07/05/2020 02:00;4456.44;2576353
08/05/2020 02:00;4538.09;1693716
11/05/2020 02:00;4561.19;2374578
12/05/2020 02:00;4473.43;2600844
13/05/2020 02:00;4420.50;3026050
14/05/2020 02:00;4294.01;3540369
15/05/2020 02:00;4314.97;2952947
18/05/2020 02:00;4361.03;3476452
19/05/2020 02:00;4536.07;4420572
20/05/2020 02:00;4434.62;3156664
21/05/2020 02:00;4443.92;2507522
22/05/2020 02:00;4381.82;2947388
25/05/2020 02:00;4482.54;2070600
26/05/2020 02:00;4588.30;4137817
27/05/2020 02:00;4621.77;5347627
28/05/2020 02:00;4718.11;4273089
29/05/2020 02:00;4733.98;5800379
01/06/2020 02:00;4776.72;2572541
02/06/2020 02:00;4799.88;4349535
03/06/2020 02:00;4911.45;5384989
04/06/2020 02:00;4994.18;5026510
05/06/2020 02:00;5060.92;7011131
08/06/2020 02:00;5159.30;5540441
09/06/2020 02:00;5187.09;5763239
10/06/2020 02:00;5119.86;4237729
11/06/2020 02:00;4925.95;5524604
12/06/2020 02:00;4774.11;4573856
15/06/2020 02:00;4716.98;3758432
16/06/2020 02:00;4922.79;5018452
17/06/2020 02:00;4952.57;4017532
18/06/2020 02:00;4978.30;3584744
19/06/2020 02:00;4997.53;8316192
22/06/2020 02:00;4928.01;2979279
23/06/2020 02:00;4972.88;3660313
24/06/2020 02:00;4985.63;3579590
25/06/2020 02:00;4860.16;3543509
26/06/2020 02:00;4965.72;3260821
29/06/2020 02:00;4887.23;3451789
30/06/2020 02:00;4958.94;3606978
01/07/2020 02:00;4939.80;3259600
02/07/2020 02:00;4963.13;4030085
03/07/2020 02:00;5056.67;2086968
06/07/2020 02:00;5112.50;2715431
07/07/2020 02:00;5054.04;2636852
08/07/2020 02:00;5004.82;2835061
09/07/2020 02:00;5006.52;2902272
10/07/2020 02:00;4891.61;2904148
13/07/2020 02:00;5026.20;2717426
14/07/2020 02:00;4990.48;2993120
15/07/2020 02:00;5045.92;4032764
16/07/2020 02:00;5076.52;2743548
17/07/2020 02:00;5088.00;3242644
20/07/2020 02:00;5058.48;2385194
21/07/2020 02:00;5129.78;3111423
22/07/2020 02:00;5098.48;2661098
23/07/2020 02:00;5064.72;3093452
24/07/2020 02:00;4973.73;2896789
27/07/2020 02:00;4944.30;2570605
28/07/2020 02:00;4930.10;2980908
29/07/2020 02:00;4948.48;2879717
30/07/2020 02:00;4952.08;4606399
31/07/2020 02:00;4866.24;4484385
03/08/2020 02:00;4797.06;3581695
04/08/2020 02:00;4905.66;3025551
05/08/2020 02:00;4916.96;2653397
06/08/2020 02:00;4919.41;2740862
07/08/2020 02:00;4873.10;2178579
10/08/2020 02:00;4905.27;2085113
11/08/2020 02:00;4952.41;3419774
12/08/2020 02:00;5017.73;2691406
13/08/2020 02:00;5055.42;2024415
14/08/2020 02:00;5018.95;2333891
17/08/2020 02:00;4972.59;1882928
18/08/2020 02:00;4951.98;2281090
19/08/2020 02:00;4934.79;1900860
20/08/2020 02:00;4914.69;2282074
21/08/2020 02:00;4927.61;2642259
24/08/2020 02:00;4948.71;2503209
25/08/2020 02:00;5023.06;2374055
26/08/2020 02:00;4991.63;1796800
27/08/2020 02:00;5052.26;2296485
28/08/2020 02:00;5031.31;2378063
31/08/2020 02:00;5041.34;3022456
01/09/2020 02:00;4974.42;2932636
02/09/2020 02:00;4969.62;3060208
03/09/2020 02:00;5074.64;3351099
04/09/2020 02:00;4974.69;3583801
07/09/2020 02:00;4979.87;2149766
08/09/2020 02:00;5052.88;2936207
09/09/2020 02:00;4980.46;2918377
10/09/2020 02:00;5039.48;2491806
11/09/2020 02:00;5014.97;2490531
14/09/2020 02:00;5071.87;2067189
15/09/2020 02:00;5056.90;2585721
16/09/2020 02:00;5065.75;2913914
17/09/2020 02:00;5005.89;2810478
18/09/2020 02:00;5035.94;8967561
21/09/2020 02:00;4949.76;4257331
22/09/2020 02:00;4809.57;3219541
23/09/2020 02:00;4824.17;2979977
24/09/2020 02:00;4746.10;3218042
25/09/2020 02:00;4754.81;3161441
28/09/2020 02:00;4806.14;3124417
29/09/2020 02:00;4832.87;2449082
30/09/2020 02:00;4793.19;3527559
01/10/2020 02:00;4850.20;3144972
02/10/2020 02:00;4769.43;2694710
05/10/2020 02:00;4863.63;2482994
06/10/2020 02:00;4881.80;2818978
07/10/2020 02:00;4888.49;2873512
08/10/2020 02:00;4910.49;2561305
09/10/2020 02:00;4925.41;2551332
12/10/2020 02:00;4952.47;2533991
13/10/2020 02:00;4976.28;2632056
14/10/2020 02:00;4956.69;2434658
15/10/2020 02:00;4873.03;3496752
16/10/2020 02:00;4904.10;3846629
19/10/2020 02:00;4955.39;1626706
20/10/2020 02:00;4932.87;3112248
21/10/2020 02:00;4945.33;2845616
