time;HERMES INTL;HERMES INTL( volume )
02/01/2020 01:00;671;42679
03/01/2020 01:00;675.4;33911
06/01/2020 01:00;669.8;44451
07/01/2020 01:00;678.2;50766
08/01/2020 01:00;684.2;34952
09/01/2020 01:00;687;51499
10/01/2020 01:00;689;49268
13/01/2020 01:00;689.6;43295
14/01/2020 01:00;699.6;60596
15/01/2020 01:00;708.6;65339
16/01/2020 01:00;712;51212
17/01/2020 01:00;725.6;60837
20/01/2020 01:00;717;46970
21/01/2020 01:00;709.2;85180
22/01/2020 01:00;711.2;58102
23/01/2020 01:00;704.2;93264
24/01/2020 01:00;711;57434
27/01/2020 01:00;680.4;155727
28/01/2020 01:00;686.6;83361
29/01/2020 01:00;690;63587
30/01/2020 01:00;677.4;78214
31/01/2020 01:00;676.6;90095
03/02/2020 01:00;678.8;71237
04/02/2020 01:00;692;69065
05/02/2020 01:00;700.2;81195
06/02/2020 01:00;693;67696
07/02/2020 01:00;695.4;65899
10/02/2020 01:00;696;55513
11/02/2020 01:00;696.4;51857
12/02/2020 01:00;709.4;68004
13/02/2020 01:00;711;53626
14/02/2020 01:00;705;47175
17/02/2020 01:00;709.4;28768
18/02/2020 01:00;700;63834
19/02/2020 01:00;712.8;62075
20/02/2020 01:00;699.8;53893
21/02/2020 01:00;694.6;61476
24/02/2020 01:00;670.4;156045
25/02/2020 01:00;664.2;120650
26/02/2020 01:00;666;117789
27/02/2020 01:00;641;152256
28/02/2020 01:00;630;197017
02/03/2020 01:00;634.8;127220
03/03/2020 01:00;642.8;119680
04/03/2020 01:00;653;117879
05/03/2020 01:00;646.6;83203
06/03/2020 01:00;634;123401
09/03/2020 01:00;605.6;190921
10/03/2020 01:00;595.8;147483
11/03/2020 01:00;594.6;109118
12/03/2020 01:00;560;242743
13/03/2020 01:00;572.8;161519
16/03/2020 01:00;548.2;198494
17/03/2020 01:00;558.6;159768
18/03/2020 01:00;525;163932
19/03/2020 01:00;560;121386
20/03/2020 01:00;606.2;182826
23/03/2020 01:00;603.4;125462
24/03/2020 01:00;641.2;123576
25/03/2020 01:00;656.2;122492
26/03/2020 01:00;671.4;101176
27/03/2020 01:00;645;75257
30/03/2020 02:00;639.8;77483
31/03/2020 02:00;628.8;96110
01/04/2020 02:00;592;99753
02/04/2020 02:00;598.6;72330
